titles,abstracts,terms,urls
Buster: Implanting Semantic Backdoor into Text Encoder to Mitigate NSFW Content Generation,"The rise of deep learning models in the digital era has raised substantial
concerns regarding the generation of Not-Safe-for-Work (NSFW) content. Existing
defense methods primarily involve model fine-tuning and post-hoc content
moderation. Nevertheless, these approaches largely lack scalability in
eliminating harmful content, degrade the quality of benign image generation, or
incur high inference costs. To address these challenges, we propose an
innovative framework named \textit{Buster}, which injects backdoors into the
text encoder to prevent NSFW content generation. Buster leverages deep semantic
information rather than explicit prompts as triggers, redirecting NSFW prompts
towards targeted benign prompts. Additionally, Buster employs energy-based
training data generation through Langevin dynamics for adversarial knowledge
augmentation, thereby ensuring robustness in harmful concept definition. This
approach demonstrates exceptional resilience and scalability in mitigating NSFW
content. Particularly, Buster fine-tunes the text encoder of Text-to-Image
models within merely five minutes, showcasing its efficiency. Our extensive
experiments denote that Buster outperforms nine state-of-the-art baselines,
achieving a superior NSFW content removal rate of at least 91.2\% while
preserving the quality of harmless images.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2412.07249v2
Enhancing Image Generation Fidelity via Progressive Prompts,"The diffusion transformer (DiT) architecture has attracted significant
attention in image generation, achieving better fidelity, performance, and
diversity. However, most existing DiT - based image generation methods focus on
global - aware synthesis, and regional prompt control has been less explored.
In this paper, we propose a coarse - to - fine generation pipeline for regional
prompt - following generation. Specifically, we first utilize the powerful
large language model (LLM) to generate both high - level descriptions of the
image (such as content, topic, and objects) and low - level descriptions (such
as details and style). Then, we explore the influence of cross - attention
layers at different depths. We find that deeper layers are always responsible
for high - level content control, while shallow layers handle low - level
content control. Various prompts are injected into the proposed regional cross
- attention control for coarse - to - fine generation. By using the proposed
pipeline, we enhance the controllability of DiT - based image generation.
Extensive quantitative and qualitative results show that our pipeline can
improve the performance of the generated images.",['cs.CV'],http://arxiv.org/abs/2501.07070v1
Detection of AI Deepfake and Fraud in Online Payments Using GAN-Based Models,"This study explores the use of Generative Adversarial Networks (GANs) to
detect AI deepfakes and fraudulent activities in online payment systems. With
the growing prevalence of deepfake technology, which can manipulate facial
features in images and videos, the potential for fraud in online transactions
has escalated. Traditional security systems struggle to identify these
sophisticated forms of fraud. This research proposes a novel GAN-based model
that enhances online payment security by identifying subtle manipulations in
payment images. The model is trained on a dataset consisting of real-world
online payment images and deepfake images generated using advanced GAN
architectures, such as StyleGAN and DeepFake. The results demonstrate that the
proposed model can accurately distinguish between legitimate transactions and
deepfakes, achieving a high detection rate above 95%. This approach
significantly improves the robustness of payment systems against AI-driven
fraud. The paper contributes to the growing field of digital security, offering
insights into the application of GANs for fraud detection in financial
services. Keywords- Payment Security, Image Recognition, Generative Adversarial
Networks, AI Deepfake, Fraudulent Activities","['cs.LG', 'cs.CR', 'cs.CV']",http://arxiv.org/abs/2501.07033v1
DivTrackee versus DynTracker: Promoting Diversity in Anti-Facial Recognition against Dynamic FR Strategy,"The widespread adoption of facial recognition (FR) models raises serious
concerns about their potential misuse, motivating the development of
anti-facial recognition (AFR) to protect user facial privacy. In this paper, we
argue that the static FR strategy, predominantly adopted in prior literature
for evaluating AFR efficacy, cannot faithfully characterize the actual
capabilities of determined trackers who aim to track a specific target
identity. In particular, we introduce \emph{\ourAttack}, a dynamic FR strategy
where the model's gallery database is iteratively updated with newly recognized
target identity images. Surprisingly, such a simple approach renders all the
existing AFR protections ineffective. To mitigate the privacy threats posed by
DynTracker, we advocate for explicitly promoting diversity in the AFR-protected
images. We hypothesize that the lack of diversity is the primary cause of the
failure of existing AFR methods. Specifically, we develop \emph{DivTrackee}, a
novel method for crafting diverse AFR protections that builds upon a
text-guided image generation framework and diversity-promoting adversarial
losses. Through comprehensive experiments on various facial image benchmarks
and feature extractors, we demonstrate DynTracker's strength in breaking
existing AFR methods and the superiority of DivTrackee in preventing user
facial images from being identified by dynamic FR strategies. We believe our
work can act as an important initial step towards developing more effective AFR
methods for protecting user facial privacy against determined trackers.","['cs.CV', 'cs.CR']",http://arxiv.org/abs/2501.06533v1
Rethinking The Training And Evaluation of Rich-Context Layout-to-Image Generation,"Recent advancements in generative models have significantly enhanced their
capacity for image generation, enabling a wide range of applications such as
image editing, completion and video editing. A specialized area within
generative modeling is layout-to-image (L2I) generation, where predefined
layouts of objects guide the generative process. In this study, we introduce a
novel regional cross-attention module tailored to enrich layout-to-image
generation. This module notably improves the representation of layout regions,
particularly in scenarios where existing methods struggle with highly complex
and detailed textual descriptions. Moreover, while current open-vocabulary L2I
methods are trained in an open-set setting, their evaluations often occur in
closed-set environments. To bridge this gap, we propose two metrics to assess
L2I performance in open-vocabulary scenarios. Additionally, we conduct a
comprehensive user study to validate the consistency of these metrics with
human preferences.",['cs.CV'],http://arxiv.org/abs/2409.04847v2
Focus-N-Fix: Region-Aware Fine-Tuning for Text-to-Image Generation,"Text-to-image (T2I) generation has made significant advances in recent years,
but challenges still remain in the generation of perceptual artifacts,
misalignment with complex prompts, and safety. The prevailing approach to
address these issues involves collecting human feedback on generated images,
training reward models to estimate human feedback, and then fine-tuning T2I
models based on the reward models to align them with human preferences.
However, while existing reward fine-tuning methods can produce images with
higher rewards, they may change model behavior in unexpected ways. For example,
fine-tuning for one quality aspect (e.g., safety) may degrade other aspects
(e.g., prompt alignment), or may lead to reward hacking (e.g., finding a way to
increase rewards without having the intended effect). In this paper, we propose
Focus-N-Fix, a region-aware fine-tuning method that trains models to correct
only previously problematic image regions. The resulting fine-tuned model
generates images with the same high-level structure as the original model but
shows significant improvements in regions where the original model was
deficient in safety (over-sexualization and violence), plausibility, or other
criteria. Our experiments demonstrate that Focus-N-Fix improves these localized
quality aspects with little or no degradation to others and typically
imperceptible changes in the rest of the image. Disclaimer: This paper contains
images that may be overly sexual, violent, offensive, or harmful.",['cs.CV'],http://arxiv.org/abs/2501.06481v1
Elucidating Flow Matching ODE Dynamics with Respect to Data Geometries,"Diffusion-based generative models have become the standard for image
generation. ODE-based samplers and flow matching models improve efficiency, in
comparison to diffusion models, by reducing sampling steps through learned
vector fields. However, the theoretical foundations of flow matching models
remain limited, particularly regarding the convergence of individual sample
trajectories at terminal time - a critical property that impacts sample quality
and being critical assumption for models like the consistency model. In this
paper, we advance the theory of flow matching models through a comprehensive
analysis of sample trajectories, centered on the denoiser that drives ODE
dynamics. We establish the existence, uniqueness and convergence of ODE
trajectories at terminal time, ensuring stable sampling outcomes under minimal
assumptions. Our analysis reveals how trajectories evolve from capturing global
data features to local structures, providing the geometric characterization of
per-sample behavior in flow matching models. We also explain the memorization
phenomenon in diffusion-based training through our terminal time analysis.
These findings bridge critical gaps in understanding flow matching models, with
practical implications for sampling stability and model design.",['cs.LG'],http://arxiv.org/abs/2412.18730v2
MEt3R: Measuring Multi-View Consistency in Generated Images,"We introduce MEt3R, a metric for multi-view consistency in generated images.
Large-scale generative models for multi-view image generation are rapidly
advancing the field of 3D inference from sparse observations. However, due to
the nature of generative modeling, traditional reconstruction metrics are not
suitable to measure the quality of generated outputs and metrics that are
independent of the sampling procedure are desperately needed. In this work, we
specifically address the aspect of consistency between generated multi-view
images, which can be evaluated independently of the specific scene. Our
approach uses DUSt3R to obtain dense 3D reconstructions from image pairs in a
feed-forward manner, which are used to warp image contents from one view into
the other. Then, feature maps of these images are compared to obtain a
similarity score that is invariant to view-dependent effects. Using MEt3R, we
evaluate the consistency of a large set of previous methods for novel view and
video generation, including our open, multi-view latent diffusion model.","['cs.CV', 'cs.LG', 'eess.IV']",http://arxiv.org/abs/2501.06336v1
MutualForce: Mutual-Aware Enhancement for 4D Radar-LiDAR 3D Object Detection,"Radar and LiDAR have been widely used in autonomous driving as LiDAR provides
rich structure information, and radar demonstrates high robustness under
adverse weather. Recent studies highlight the effectiveness of fusing radar and
LiDAR point clouds. However, challenges remain due to the modality misalignment
and information loss during feature extractions. To address these issues, we
propose a 4D radar-LiDAR framework to mutually enhance their representations.
Initially, the indicative features from radar are utilized to guide both radar
and LiDAR geometric feature learning. Subsequently, to mitigate their sparsity
gap, the shape information from LiDAR is used to enrich radar BEV features.
Extensive experiments on the View-of-Delft (VoD) dataset demonstrate our
approach's superiority over existing methods, achieving the highest mAP of
71.76% across the entire area and 86.36\% within the driving corridor.
Especially for cars, we improve the AP by 4.17% and 4.20% due to the strong
indicative features and symmetric shapes.",['cs.CV'],http://arxiv.org/abs/2501.10266v1
Leveraging Confident Image Regions for Source-Free Domain-Adaptive Object Detection,"Source-free domain-adaptive object detection is an interesting but scarcely
addressed topic. It aims at adapting a source-pretrained detector to a distinct
target domain without resorting to source data during adaptation. So far, there
is no data augmentation scheme tailored to source-free domain-adaptive object
detection. To this end, this paper presents a novel data augmentation approach
that cuts out target image regions where the detector is confident, augments
them along with their respective pseudo-labels, and joins them into a
challenging target image to adapt the detector. As the source data is out of
reach during adaptation, we implement our approach within a teacher-student
learning paradigm to ensure that the model does not collapse during the
adaptation procedure. We evaluated our approach on three adaptation benchmarks
of traffic scenes, scoring new state-of-the-art on two of them.",['cs.CV'],http://arxiv.org/abs/2501.10081v1
One-D-Piece: Image Tokenizer Meets Quality-Controllable Compression,"Current image tokenization methods require a large number of tokens to
capture the information contained within images. Although the amount of
information varies across images, most image tokenizers only support
fixed-length tokenization, leading to inefficiency in token allocation. In this
study, we introduce One-D-Piece, a discrete image tokenizer designed for
variable-length tokenization, achieving quality-controllable mechanism. To
enable variable compression rate, we introduce a simple but effective
regularization mechanism named ""Tail Token Drop"" into discrete one-dimensional
image tokenizers. This method encourages critical information to concentrate at
the head of the token sequence, enabling support of variadic tokenization,
while preserving state-of-the-art reconstruction quality. We evaluate our
tokenizer across multiple reconstruction quality metrics and find that it
delivers significantly better perceptual quality than existing
quality-controllable compression methods, including JPEG and WebP, at smaller
byte sizes. Furthermore, we assess our tokenizer on various downstream computer
vision tasks, including image classification, object detection, semantic
segmentation, and depth estimation, confirming its adaptability to numerous
applications compared to other variable-rate methods. Our approach demonstrates
the versatility of variable-length discrete image tokenization, establishing a
new paradigm in both compression efficiency and reconstruction performance.
Finally, we validate the effectiveness of tail token drop via detailed analysis
of tokenizers.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2501.10064v1
LWGANet: A Lightweight Group Attention Backbone for Remote Sensing Visual Tasks,"Remote sensing (RS) visual tasks have gained significant academic and
practical importance. However, they encounter numerous challenges that hinder
effective feature extraction, including the detection and recognition of
multiple objects exhibiting substantial variations in scale within a single
image. While prior dual-branch or multi-branch architectural strategies have
been effective in managing these object variances, they have concurrently
resulted in considerable increases in computational demands and parameter
counts. Consequently, these architectures are rendered less viable for
deployment on resource-constrained devices. Contemporary lightweight backbone
networks, designed primarily for natural images, frequently encounter
difficulties in effectively extracting features from multi-scale objects, which
compromises their efficacy in RS visual tasks. This article introduces LWGANet,
a specialized lightweight backbone network tailored for RS visual tasks,
incorporating a novel lightweight group attention (LWGA) module designed to
address these specific challenges. LWGA module, tailored for RS imagery,
adeptly harnesses redundant features to extract a wide range of spatial
information, from local to global scales, without introducing additional
complexity or computational overhead. This facilitates precise feature
extraction across multiple scales within an efficient framework.LWGANet was
rigorously evaluated across twelve datasets, which span four crucial RS visual
tasks: scene classification, oriented object detection, semantic segmentation,
and change detection. The results confirm LWGANet's widespread applicability
and its ability to maintain an optimal balance between high performance and low
complexity, achieving SOTA results across diverse datasets. LWGANet emerged as
a novel solution for resource-limited scenarios requiring robust RS image
processing capabilities.",['cs.CV'],http://arxiv.org/abs/2501.10040v1
IOR: Inversed Objects Replay for Incremental Object Detection,"Existing Incremental Object Detection (IOD) methods partially alleviate
catastrophic forgetting when incrementally detecting new objects in real-world
scenarios. However, many of these methods rely on the assumption that unlabeled
old-class objects may co-occur with labeled new-class objects in the
incremental data. When unlabeled old-class objects are absent, the performance
of existing methods tends to degrade. The absence can be mitigated by
generating old-class samples, but it incurs high costs. This paper argues that
previous generation-based IOD suffers from redundancy, both in the use of
generative models, which require additional training and storage, and in the
overproduction of generated samples, many of which do not contribute
significantly to performance improvements. To eliminate the redundancy, we
propose Inversed Objects Replay (IOR). Specifically, we generate old-class
samples by inversing the original detectors, thus eliminating the necessity of
training and storing additional generative models. We propose augmented replay
to reuse the objects in generated samples, reducing redundant generations.
Moreover, we propose high-value knowledge distillation focusing on the
positions of old-class objects overwhelmed by the background, which transfers
the knowledge to the incremental detector. Extensive experiments conducted on
MS COCO 2017 demonstrate that our method can efficiently improve detection
performance in IOD scenarios with the absence of old-class objects.",['cs.CV'],http://arxiv.org/abs/2406.04829v4
FLORA: Formal Language Model Enables Robust Training-free Zero-shot Object Referring Analysis,"Object Referring Analysis (ORA), commonly known as referring expression
comprehension, requires the identification and localization of specific objects
in an image based on natural descriptions. Unlike generic object detection, ORA
requires both accurate language understanding and precise visual localization,
making it inherently more complex. Although recent pre-trained large visual
grounding detectors have achieved significant progress, they heavily rely on
extensively labeled data and time-consuming learning. To address these, we
introduce a novel, training-free framework for zero-shot ORA, termed FLORA
(Formal Language for Object Referring and Analysis). FLORA harnesses the
inherent reasoning capabilities of large language models (LLMs) and integrates
a formal language model - a logical framework that regulates language within
structured, rule-based descriptions - to provide effective zero-shot ORA. More
specifically, our formal language model (FLM) enables an effective,
logic-driven interpretation of object descriptions without necessitating any
training processes. Built upon FLM-regulated LLM outputs, we further devise a
Bayesian inference framework and employ appropriate off-the-shelf interpretive
models to finalize the reasoning, delivering favorable robustness against LLM
hallucinations and compelling ORA performance in a training-free manner. In
practice, our FLORA boosts the zero-shot performance of existing pretrained
grounding detectors by up to around 45%. Our comprehensive evaluation across
different challenging datasets also confirms that FLORA consistently surpasses
current state-of-the-art zero-shot methods in both detection and segmentation
tasks associated with zero-shot ORA. We believe our probabilistic parsing and
reasoning of the LLM outputs elevate the reliability and interpretability of
zero-shot ORA. We shall release codes upon publication.",['cs.CV'],http://arxiv.org/abs/2501.09887v1
"AgRegNet: A Deep Regression Network for Flower and Fruit Density Estimation, Localization, and Counting in Orchards","One of the major challenges for the agricultural industry today is the
uncertainty in manual labor availability and the associated cost. Automated
flower and fruit density estimation, localization, and counting could help
streamline harvesting, yield estimation, and crop-load management strategies
such as flower and fruitlet thinning. This article proposes a deep
regression-based network, AgRegNet, to estimate density, count, and location of
flower and fruit in tree fruit canopies without explicit object detection or
polygon annotation. Inspired by popular U-Net architecture, AgRegNet is a
U-shaped network with an encoder-to-decoder skip connection and modified
ConvNeXt-T as an encoder feature extractor. AgRegNet can be trained based on
information from point annotation and leverages segmentation information and
attention modules (spatial and channel) to highlight relevant flower and fruit
features while suppressing non-relevant background features. Experimental
evaluation in apple flower and fruit canopy images under an unstructured
orchard environment showed that AgRegNet achieved promising accuracy as
measured by Structural Similarity Index (SSIM), percentage Mean Absolute Error
(pMAE) and mean Average Precision (mAP) to estimate flower and fruit density,
count, and centroid location, respectively. Specifically, the SSIM, pMAE, and
mAP values for flower images were 0.938, 13.7%, and 0.81, respectively. For
fruit images, the corresponding values were 0.910, 5.6%, and 0.93. Since the
proposed approach relies on information from point annotation, it is suitable
for sparsely and densely located objects. This simplified technique will be
highly applicable for growers to accurately estimate yields and decide on
optimal chemical and mechanical flower thinning practices.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2409.17400v2
A Simple Aerial Detection Baseline of Multimodal Language Models,"The multimodal language models (MLMs) based on generative pre-trained
Transformer are considered powerful candidates for unifying various domains and
tasks. MLMs developed for remote sensing (RS) have demonstrated outstanding
performance in multiple tasks, such as visual question answering and visual
grounding. In addition to visual grounding that detects specific objects
corresponded to given instruction, aerial detection, which detects all objects
of multiple categories, is also a valuable and challenging task for RS
foundation models. However, aerial detection has not been explored by existing
RS MLMs because the autoregressive prediction mechanism of MLMs differs
significantly from the detection outputs. In this paper, we present a simple
baseline for applying MLMs to aerial detection for the first time, named
LMMRotate. Specifically, we first introduce a normalization method to transform
detection outputs into textual outputs to be compatible with the MLM framework.
Then, we propose a evaluation method, which ensures a fair comparison between
MLMs and conventional object detection models. We construct the baseline by
fine-tuning open-source general-purpose MLMs and achieve impressive detection
performance comparable to conventional detector. We hope that this baseline
will serve as a reference for future MLM development, enabling more
comprehensive capabilities for understanding RS images. Code is available at
https://github.com/Li-Qingyun/mllm-mmrotate.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.09720v1
Practical Continual Forgetting for Pre-trained Vision Models,"For privacy and security concerns, the need to erase unwanted information
from pre-trained vision models is becoming evident nowadays. In real-world
scenarios, erasure requests originate at any time from both users and model
owners, and these requests usually form a sequence. Therefore, under such a
setting, selective information is expected to be continuously removed from a
pre-trained model while maintaining the rest. We define this problem as
continual forgetting and identify three key challenges. (i) For unwanted
knowledge, efficient and effective deleting is crucial. (ii) For remaining
knowledge, the impact brought by the forgetting procedure should be minimal.
(iii) In real-world scenarios, the training samples may be scarce or partially
missing during the process of forgetting. To address them, we first propose
Group Sparse LoRA (GS-LoRA). Specifically, towards (i), we introduce LoRA
modules to fine-tune the FFN layers in Transformer blocks for each forgetting
task independently, and towards (ii), a simple group sparse regularization is
adopted, enabling automatic selection of specific LoRA groups and zeroing out
the others. To further extend GS-LoRA to more practical scenarios, we
incorporate prototype information as additional supervision and introduce a
more practical approach, GS-LoRA++. For each forgotten class, we move the
logits away from its original prototype. For the remaining classes, we pull the
logits closer to their respective prototypes. We conduct extensive experiments
on face recognition, object detection and image classification and demonstrate
that our method manages to forget specific classes with minimal impact on other
classes. Codes have been released on https://github.com/bjzhb666/GS-LoRA.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2501.09705v1
MonoSOWA: Scalable monocular 3D Object detector Without human Annotations,"Detecting the three-dimensional position and orientation of objects using a
single RGB camera is a foundational task in computer vision with many important
applications. Traditionally, 3D object detection methods are trained in a
fully-supervised setup, requiring vast amounts of human annotations, which are
laborious, costly, and do not scale well with the ever-increasing amounts of
data being captured.
  In this paper, we present the first method to train 3D object detectors for
monocular RGB cameras without domain-specific human annotations, thus making
orders of magnitude more data available for training. Thanks to newly proposed
Canonical Object Space, the method can not only exploit data across a variety
of datasets and camera setups to train a single 3D detector, but unlike
previous work it also works out of the box in previously unseen camera setups.
All this is crucial for practical applications, where the data and cameras are
extremely heterogeneous.
  The method is evaluated on two standard autonomous driving datasets, where it
outperforms previous works, which, unlike our method, still rely on 2D human
annotations.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2501.09481v1
RE-POSE: Synergizing Reinforcement Learning-Based Partitioning and Offloading for Edge Object Detection,"Object detection plays a crucial role in smart video analysis, with
applications ranging from autonomous driving and security to smart cities.
However, achieving real-time object detection on edge devices presents
significant challenges due to their limited computational resources and the
high demands of deep neural network (DNN)-based detection models, particularly
when processing high-resolution video. Conventional strategies, such as input
down-sampling and network up-scaling, often compromise detection accuracy for
faster performance or lead to higher inference latency. To address these
issues, this paper introduces RE-POSE, a Reinforcement Learning (RL)-Driven
Partitioning and Edge Offloading framework designed to optimize the
accuracy-latency trade-off in resource-constrained edge environments. Our
approach features an RL-Based Dynamic Clustering Algorithm (RL-DCA) that
partitions video frames into non-uniform blocks based on object distribution
and the computational characteristics of DNNs. Furthermore, a parallel edge
offloading scheme is implemented to distribute these blocks across multiple
edge servers for concurrent processing. Experimental evaluations show that
RE-POSE significantly enhances detection accuracy and reduces inference
latency, surpassing existing methods.","['cs.CV', 'cs.AI', 'cs.DC']",http://arxiv.org/abs/2501.09465v1
On the Relation between Optical Aperture and Automotive Object Detection,"We explore the impact of aperture size and shape on automotive camera systems
for deep-learning-based tasks like traffic sign recognition and light state
detection. A method is proposed to simulate optical effects using the point
spread function (PSF), enhancing realism and reducing the domain gap between
synthetic and real-world images. Computer-generated scenes are refined with
this technique to model optical distortions and improve simulation accuracy.",['cs.CV'],http://arxiv.org/abs/2501.09456v1
SoccerSynth-Detection: A Synthetic Dataset for Soccer Player Detection,"In soccer video analysis, player detection is essential for identifying key
events and reconstructing tactical positions. The presence of numerous players
and frequent occlusions, combined with copyright restrictions, severely
restricts the availability of datasets, leaving limited options such as
SoccerNet-Tracking and SportsMOT. These datasets suffer from a lack of
diversity, which hinders algorithms from adapting effectively to varied soccer
video contexts. To address these challenges, we developed
SoccerSynth-Detection, the first synthetic dataset designed for the detection
of synthetic soccer players. It includes a broad range of random lighting and
textures, as well as simulated camera motion blur. We validated its efficacy
using the object detection model (Yolov8n) against real-world datasets
(SoccerNet-Tracking and SportsMoT). In transfer tests, it matched the
performance of real datasets and significantly outperformed them in images with
motion blur; in pre-training tests, it demonstrated its efficacy as a
pre-training dataset, significantly enhancing the algorithm's overall
performance. Our work demonstrates the potential of synthetic datasets to
replace real datasets for algorithm training in the field of soccer video
analysis.",['cs.CV'],http://arxiv.org/abs/2501.09281v1
Enhancing Novel Object Detection via Cooperative Foundational Models,"In this work, we address the challenging and emergent problem of novel object
detection (NOD), focusing on the accurate detection of both known and novel
object categories during inference. Traditional object detection algorithms are
inherently closed-set, limiting their capability to handle NOD. We present a
novel approach to transform existing closed-set detectors into open-set
detectors. This transformation is achieved by leveraging the complementary
strengths of pre-trained foundational models, specifically CLIP and SAM,
through our cooperative mechanism. Furthermore, by integrating this mechanism
with state-of-the-art open-set detectors such as GDINO, we establish new
benchmarks in object detection performance. Our method achieves 17.42 mAP in
novel object detection and 42.08 mAP for known objects on the challenging LVIS
dataset. Adapting our approach to the COCO OVD split, we surpass the current
state-of-the-art by a margin of 7.2 $ \text{AP}_{50} $ for novel classes. Our
code is available at https://rohit901.github.io/coop-foundation-models/ .","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2311.12068v4
CGCOD: Class-Guided Camouflaged Object Detection,"Camouflaged Object Detection (COD) aims to identify objects that blend
seamlessly into their surroundings. The inherent visual complexity of
camouflaged objects, including their low contrast with the background, diverse
textures, and subtle appearance variations, often obscures semantic cues,
making accurate segmentation highly challenging. Existing methods primarily
rely on visual features, which are insufficient to handle the variability and
intricacy of camouflaged objects, leading to unstable object perception and
ambiguous segmentation results. To tackle these limitations, we introduce a
novel task, class-guided camouflaged object detection (CGCOD), which extends
traditional COD task by incorporating object-specific class knowledge to
enhance detection robustness and accuracy. To facilitate this task, we present
a new dataset, CamoClass, comprising real-world camouflaged objects with class
annotations. Furthermore, we propose a multi-stage framework, CGNet, which
incorporates a plug-and-play class prompt generator and a simple yet effective
class-guided detector. This establishes a new paradigm for COD, bridging the
gap between contextual understanding and class-guided detection. Extensive
experimental results demonstrate the effectiveness of our flexible framework in
improving the performance of proposed and existing detectors by leveraging
class-level textual information.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2412.18977v2
Polyp detection in colonoscopy images using YOLOv11,"Colorectal cancer (CRC) is one of the most commonly diagnosed cancers all
over the world. It starts as a polyp in the inner lining of the colon. To
prevent CRC, early polyp detection is required. Colonosopy is used for the
inspection of the colon. Generally, the images taken by the camera placed at
the tip of the endoscope are analyzed by the experts manually. Various
traditional machine learning models have been used with the rise of machine
learning. Recently, deep learning models have shown more effectiveness in polyp
detection due to their superiority in generalizing and learning small features.
These deep learning models for object detection can be segregated into two
different types: single-stage and two-stage. Generally, two stage models have
higher accuracy than single stage ones but the single stage models have low
inference time. Hence, single stage models are easy to use for quick object
detection. YOLO is one of the singlestage models used successfully for polyp
detection. It has drawn the attention of researchers because of its lower
inference time. The researchers have used Different versions of YOLO so far,
and with each newer version, the accuracy of the model is increasing. This
paper aims to see the effectiveness of the recently released YOLOv11 to detect
polyp. We analyzed the performance for all five models of YOLOv11 (YOLO11n,
YOLO11s, YOLO11m, YOLO11l, YOLO11x) with Kvasir dataset for the training and
testing. Two different versions of the dataset were used. The first consisted
of the original dataset, and the other was created using augmentation
techniques. The performance of all the models with these two versions of the
dataset have been analysed.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.09051v1
Multispectral Pedestrian Detection with Sparsely Annotated Label,"Although existing Sparsely Annotated Object Detection (SAOD) approches have
made progress in handling sparsely annotated environments in multispectral
domain, where only some pedestrians are annotated, they still have the
following limitations: (i) they lack considerations for improving the quality
of pseudo-labels for missing annotations, and (ii) they rely on fixed ground
truth annotations, which leads to learning only a limited range of pedestrian
visual appearances in the multispectral domain. To address these issues, we
propose a novel framework called Sparsely Annotated Multispectral Pedestrian
Detection (SAMPD). For limitation (i), we introduce Multispectral
Pedestrian-aware Adaptive Weight (MPAW) and Positive Pseudo-label Enhancement
(PPE) module. Utilizing multispectral knowledge, these modules ensure the
generation of high-quality pseudo-labels and enable effective learning by
increasing weights for high-quality pseudo-labels based on modality
characteristics. To address limitation (ii), we propose an Adaptive Pedestrian
Retrieval Augmentation (APRA) module, which adaptively incorporates pedestrian
patches from ground-truth and dynamically integrates high-quality pseudo-labels
with the ground-truth, facilitating a more diverse learning pool of
pedestrians. Extensive experimental results demonstrate that our SAMPD
significantly enhances performance in sparsely annotated environments within
the multispectral domain.",['cs.CV'],http://arxiv.org/abs/2501.02640v3
PACF: Prototype Augmented Compact Features for Improving Domain Adaptive Object Detection,"In recent years, there has been significant advancement in object detection.
However, applying off-the-shelf detectors to a new domain leads to significant
performance drop, caused by the domain gap. These detectors exhibit
higher-variance class-conditional distributions in the target domain than that
in the source domain, along with mean shift. To address this problem, we
propose the Prototype Augmented Compact Features (PACF) framework to regularize
the distribution of intra-class features. Specifically, we provide an in-depth
theoretical analysis on the lower bound of the target features-related
likelihood and derive the prototype cross entropy loss to further calibrate the
distribution of target RoI features. Furthermore, a mutual regularization
strategy is designed to enable the linear and prototype-based classifiers to
learn from each other, promoting feature compactness while enhancing
discriminability. Thanks to this PACF framework, we have obtained a more
compact cross-domain feature space, within which the variance of the target
features' class-conditional distributions has significantly decreased, and the
class-mean shift between the two domains has also been further reduced. The
results on different adaptation settings are state-of-the-art, which
demonstrate the board applicability and effectiveness of the proposed approach.",['cs.CV'],http://arxiv.org/abs/2501.08605v1
Predicting Performance of Object Detection Models in Electron Microscopy Using Random Forests,"Quantifying prediction uncertainty when applying object detection models to
new, unlabeled datasets is critical in applied machine learning. This study
introduces an approach to estimate the performance of deep learning-based
object detection models for quantifying defects in transmission electron
microscopy (TEM) images, focusing on detecting irradiation-induced cavities in
TEM images of metal alloys. We developed a random forest regression model that
predicts the object detection F1 score, a statistical metric used to evaluate
the ability to accurately locate and classify objects of interest. The random
forest model uses features extracted from the predictions of the object
detection model whose uncertainty is being quantified, enabling fast prediction
on new, unlabeled images. The mean absolute error (MAE) for predicting F1 of
the trained model on test data is 0.09, and the $R^2$ score is 0.77, indicating
there is a significant correlation between the random forest regression model
predicted and true defect detection F1 scores. The approach is shown to be
robust across three distinct TEM image datasets with varying imaging and
material domains. Our approach enables users to estimate the reliability of a
defect detection and segmentation model predictions and assess the
applicability of the model to their specific datasets, providing valuable
information about possible domain shifts and whether the model needs to be
fine-tuned or trained on additional data to be maximally effective for the
desired use case.","['cs.CV', 'cond-mat.mtrl-sci']",http://arxiv.org/abs/2501.08465v1
Relaxed Rotational Equivariance via $G$-Biases in Vision,"Group Equivariant Convolution (GConv) can capture rotational equivariance
from original data. It assumes uniform and strict rotational equivariance
across all features as the transformations under the specific group. However,
the presentation or distribution of real-world data rarely conforms to strict
rotational equivariance, commonly referred to as Rotational Symmetry-Breaking
(RSB) in the system or dataset, making GConv unable to adapt effectively to
this phenomenon. Motivated by this, we propose a simple but highly effective
method to address this problem, which utilizes a set of learnable biases called
$G$-Biases under the group order to break strict group constraints and then
achieve a Relaxed Rotational Equivariant Convolution (RREConv). To validate the
efficiency of RREConv, we conduct extensive ablation experiments on the
discrete rotational group $\mathcal{C}_n$. Experiments demonstrate that the
proposed RREConv-based methods achieve excellent performance compared to
existing GConv-based methods in both classification and 2D object detection
tasks on the natural image datasets.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2408.12454v3
